,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
270,2 square 0,"(4108, 4108)",0,33751328,168.75664,268.435456,0.001906376069964608(0.0)
271,2 square 1,"(4108, 4108)",0,33751328,168.75664,268.435456,0.0031063779200485443(0.0)
272,2 square 0,"(4161, 4161)",0,34627842,173.13921,272.62976,0.001955937110033119(0.0)
273,2 square 1,"(4161, 4161)",0,34627842,173.13921,272.62976,0.00319399023996084(0.0)
274,2 square 0,"(4213, 4213)",0,35498738,177.49369,274.726912,0.0019996537099359556(0.0)
275,2 square 1,"(4213, 4213)",0,35498738,177.49369,274.726912,0.0032865128500270658(0.0)
276,2 square 0,"(4265, 4265)",0,36380450,181.90225,283.11552,0.0020474226599617395(0.0)
277,2 square 1,"(4265, 4265)",0,36380450,181.90225,283.11552,0.0033762767601001544(0.0)
278,2 square 0,"(4316, 4316)",0,37255712,186.27856,287.309824,0.0021016107099421787(0.0)
279,2 square 1,"(4316, 4316)",0,37255712,186.27856,287.309824,0.0034679778999998235(0.0)
280,2 square 0,"(4367, 4367)",0,38141378,190.70689,297.795584,0.002140298430022085(0.0)
281,2 square 1,"(4367, 4367)",0,38141378,190.70689,297.795584,0.003559858710068511(0.0)
